"","Journal","Rank","Source","IF"
"491","Advanced Nonlinear Studies","A","ERA",1.533
"492","Advanced Powder Technology","B","ERA",4.217
"493","Advanced Robotics","B","ERA",1.247
"494","Advanced Studies in Medicine","C","ERA",NA
"495","Advanced Studies in Theoretical Physics","C","ERA",NA
"496","Advanced Synthesis and Catalysis","A+","ERA",5.851
"497","Advanced Technology for Learning","C","ERA",NA
"498","Advances and Applications in Fluid Mechanics","C","ERA",NA
"499","Advances and Applications in Mathematical Sciences","C","ERA",NA
"500","Advances and applications in statistics","C","ERA",NA
"501","Advances and Technical Standards in Neurosurgery","C","ERA",NA
"502","Advances in Accounting : a Research Annual","A","ERA",NA
"503","Advances in Accounting Behavioral Research","B","ERA",NA
"504","Advances in Accounting Education: teaching and curriculum innovations","C","ERA",NA
"505","Advances in Acoustics and Vibration","C","ERA",NA
"506","Advances in ADHD","C","ERA",NA
"507","Advances in Agronomy","A+","ERA",5.279
"508","Advances in Algebra","C","ERA",NA
"509","Advances in Anatomic Pathology","B","ERA",3.746
"510","Advances in Anatomy, Embryology and Cell Biology","C","ERA",NA
"511","Advances in Applied Ceramics","B","ERA",1.669
"512","Advances in Applied Clifford Algebras","C","ERA",1.066
"513","Advances in Applied Mathematical Analysis","C","ERA",NA
"514","Advances in Applied Mathematics","B","ERA",0.952
"515","Advances in Applied Microbiology","C","ERA",3.343
"516","Advances in Applied Probability","A","ERA",0.73
"517","Advances in Atmospheric Sciences","B","ERA",2.583
"518","Advances in Botanical Research","C","ERA",2.94
"519","Advances in Breast Cancer","C","ERA",NA
"520","Advances in Cancer Research","A","ERA",5.235
"521","Advances in Carbohydrate Chemistry and Biochemistry","B","ERA",5.8
"522","Advances in Catalysis","A","ERA",7.545
"523","Advances in Cement Research","B","ERA",1.576
"524","Advances in Chemical Engineering","A+","ERA",NA
"525","Advances in Chemical Physics","A","ERA",2.267
"526","Advances in Child Development and Behavior","C","ERA",1.5
"527","Advances in Chromatography","B","ERA",1
"528","Advances in Chronic Kidney Disease","C","ERA",3.306
"529","Advances in Clinical and Experimental Medicine","C","ERA",1.514
"530","Advances in Clinical Chemistry","C","ERA",3.367
"531","Advances in Cognitive Psychology","C","ERA",1.2
"532","Advances in Colloid and Interface Science","A","ERA",9.922
"533","Advances in Complex Systems","C","ERA",0.976
"534","Advances in Computational Mathematics","A","ERA",1.748
"535","Advances in Computational Sciences and Technology","C","ERA",NA
"536","Advances in Consumer Research","A","ERA",NA
"537","Advances in Contemporary Nursing","B","ERA",NA
"538","Advances in Criminological Theory","A","ERA",NA
"539","Advances in Data Analysis and Classification","C","ERA",1.603
"540","Advances in Dental Research","B","ERA",NA
"541","Advances in Developing Human Resources","C","ERA",NA
"542","Advances in Difference Equations","B","ERA",2.421
"543","Advances in Differential Equations","A","ERA",1.059
"544","Advances in Drug Research","C","ERA",NA
"545","Advances in Dynamical Systems and Applications","C","ERA",NA
"546","Advances in Ecological Research","B","ERA",6.167
"547","Advances in Engineering Education","B","ERA",NA
"548","Advances in Engineering Software","B","ERA",3.884
"549","Advances in Environmental Accounting and Management","C","ERA",NA
"550","Advances in Enzyme Regulation","B","ERA",NA
"551","Advances in Enzymology and Related Areas of Molecular Biology","A","ERA",NA
"552","Advances in Experimental Medicine and Biology","C","ERA",2.45
"553","Advances in Experimental Social Psychology","A","ERA",6.55
"554","Advances in Financial Education","B","ERA",NA
"555","Advances in Fluid Mechanics","A","ERA",NA
"556","Advances in Food Sciences","C","ERA",NA
"557","Advances in Fuzzy Mathematics","C","ERA",NA
"558","Advances in Fuzzy Sets and Systems","C","ERA",NA
"559","Advances in Fuzzy Systems","C","ERA",NA
"560","Advances in Gastrointestinal Cancers","C","ERA",NA
"561","Advances in Gender Research","C","ERA",NA
"562","Advances in Geometry","B","ERA",0.736
"563","Advances in Geophysics","B","ERA",4.5
"564","Advances in Geosciences","C","ERA",NA
"565","Advances in Gerontology","C","ERA",NA
"566","Advances in Health Sciences Education","A","ERA",2.48
"567","Advances in Health Sciences Education","A","ERA",2.48
"568","Advances in Health Sociology","C","ERA",NA
"569","Advances in Heterocyclic Chemistry","C","ERA",4.313
"570","Advances in High Energy Physics","C","ERA",1.422
"571","Advances in Horticultural Science","A","ERA",NA
"572","Advances in Horticulture and Forestry","B","ERA",NA
"573","Advances in Hospitality and Leisure","C","ERA",NA
"574","Advances in Imaging and Electron Physics","B","ERA",NA
"575","Advances in Immunology","A","ERA",5.359
"576","Advances in Innovation Research","B","ERA",NA
"577","Advances in Inorganic Chemistry","A","ERA",2.658
"578","Advances in Insect Physiology","A+","ERA",3.185
"579","Advances in International Accounting","B","ERA",NA
"580","Advances in International Marketing","C","ERA",NA
"581","Advances in Learning and Behavioral Disabilities","C","ERA",NA
"582","Advances in Limnology","C","ERA",NA
"583","Advances in Magnetic and Optical Resonance","C","ERA",NA
"584","Advances in Management Accounting","B","ERA",NA
"585","Advances in Management and Organization","C","ERA",NA
"586","Advances in Marine Biology","B","ERA",3
"587","Advances in Mathematical Sciences and Applications","C","ERA",NA
"588","Advances in Mathematics","A+","ERA",1.494
"589","Advances in Mathematics of Commmunications","B","ERA",NA
"590","Advances in Medical and Dental Sciences","C","ERA",NA
"591","Advances in Medical Sciences","C","ERA",2.57
"592","Advances in Microbial Ecology","B","ERA",NA
"593","Advances in Microbial Physiology","A","ERA",4.875
"594","Advances in Modeling and Analysis C","C","ERA",NA
"595","Advances in Modelling and Analysis B: Signals, Information, Data, Patterns","C","ERA",NA
"596","Advances in Modelling and Analysis. A: General Mathematical and Computer Tools","C","ERA",NA
"597","Advances in Neonatal Care","C","ERA",1.405
"598","Advances in Neonatal Care","C","ERA",1.405
"599","Advances in Neural Information Processing Systems","A","ERA",NA
"600","Advances in Neurology","C","ERA",NA
"601","Advances in Nonlinear Optics","C","ERA",NA
"602","Advances in Nonlinear Variational Inequalities","B","ERA",NA
"603","Advances in Nursing Science","A","ERA",1.391
"604","Advances in Nursing Science","A","ERA",1.391
"605","Advances in Nutritional Research","C","ERA",NA
"606","Advances in OptoElectronics","C","ERA",NA
"607","Advances in Organometallic Chemistry","A","ERA",2.833
"608","Advances in Pain Research and Therapy","C","ERA",NA
"609","Advances in Parasitology","A+","ERA",7.137
"610","Advances in Pharmaceutical Sciences","C","ERA",NA
"611","Advances in Pharmacological Sciences","C","ERA",NA
"612","Advances in Pharmacology","B","ERA",NA
"613","Advances in Physical Organic Chemistry","B","ERA",1.875
"614","Advances in Physics","A+","ERA",16.375
"615","Advances in Physiology Education","B","ERA",1.534
"616","Advances in Physiotherapy","C","ERA",NA
"617","Advances in Plant Pathology","C","ERA",NA
"618","Advances in Polymer Science","A","ERA",1.753
"619","Advances in Polymer Technology","B","ERA",1.539
"620","Advances in Production Engineering and Management","C","ERA",2.347
"621","Advances in Protein Chemistry","B","ERA",NA
"622","Advances in Psychiatric Treatment","C","ERA",NA
"623","Advances in Psychological Science","C","ERA",NA
"624","Advances in Public Interest Accounting","B","ERA",NA
"625","Advances in Quantitative Analysis of Finance and Accounting","B","ERA",NA
"626","Advances in Quantum Chemistry","C","ERA",1.115
"627","Advances in Radio Science - Kleinheubacher Berichte","C","ERA",NA
"628","Advances in Schizophrenia and Clinical Psychiatry","C","ERA",NA
"629","Advances in School Mental Health Promotion","C","ERA",NA
"630","Advances in Second Messenger and Phosphoprotein Research","C","ERA",NA
"631","Advances in Sepsis","C","ERA",NA
"632","Advances in Skin and Wound Care: the journal for wound prevention and healing","C","ERA",NA
"633","Advances in Small Animal Medicine and Surgery","C","ERA",NA
"634","Advances in Social Work","C","ERA",NA
"635","Advances in Social Work and Welfare Education","C","ERA",NA
"636","Advances in Solid State Physics","C","ERA",NA
"637","Advances in Space Research","C","ERA",2.177
"638","Advances in Structural Engineering: an international journal","A","ERA",NA
"639","Advances in Taxation","B","ERA",NA
"640","Advances in the History of Rhetoric","C","ERA",NA
"641","Advances in the Physics of Particles and Nuclei","A","ERA",NA
"642","Advances in Theoretical and Applied Mathematics","C","ERA",NA
"643","Advances in Theoretical and Mathematical Physics","A+","ERA",2.405
"644","Advances in Therapy","C","ERA",3.871
"645","Advances in Tribology","C","ERA",NA
"646","Advances in Urology","C","ERA",NA
"647","Advances in Veterinary Dermatology","C","ERA",NA
"648","Advances in Veterinary Medicine","B","ERA",NA
"649","Advances in Virus Research","A+","ERA",4.633
"650","Advances in Water Resources","A","ERA",4.016
"651","Advancing Women in Leadership","C","ERA",NA
"652","Advertising and Society Review","C","ERA",NA
"653","Advocates' Quarterly","C","ERA",NA
"654","Aegaeum : annales d'archéologie égéenne de l'Université de Liege","C","ERA",NA
"655","Aegean Archaeology","C","ERA",NA
"656","Aegyptus: rivista italiana di egittologia e di papirologia","B","ERA",NA
"657","AEJ - Alexandria Engineering Journal","C","ERA",NA
"658","Aequationes Mathematicae","B","ERA",0.851
"659","Aerial Archaeology: Studies in Archaeological Aerial Photography.","B","ERA",NA
"660","Aerobiologia","C","ERA",2.708
"661","Aerosol and Air Quality Research","C","ERA",NA
"662","Aerosol Science and Technology","C","ERA",2.34
"663","Aerospace and environmental medicine","C","ERA",NA
"664","Aerospace Science and Technology","C","ERA",4.499
"665","AES","C","ERA",NA
"666","Aesthetic Plastic Surgery","C","ERA",1.798
"667","Aesthetic Surgery Journal","C","ERA",3.799
"668","Aesthetics","C","ERA",NA
"669","Aesthetik und Kommunikation","B","ERA",NA
"670","Aetas","B","ERA",NA
"671","Aethiopica: Internationale Zeitschrift fuer Aethiopistik","B","ERA",NA
"672","Aethlon: the journal of sport literature","C","ERA",NA
"673","AEUe: International Journal of Electronics and Communication","C","ERA",NA
"674","Aevum Antiquum: Istituto di Filologia Classica e di Papirologia","A","ERA",NA
"675","Aevum: rassegna di scienze storiche, linguistiche e filologiche","C","ERA",NA
"676","Afaq Iqtisadiyyah","C","ERA",NA
"677","AFBM Journal","C","ERA",NA
"678","AFER: African ecclesiastical review","C","ERA",NA
"679","Affilia: journal of women and social work","A","ERA",NA
"680","Afinidad","C","ERA",0.324
"681","Africa","A","ERA",0.938
"682","Africa Bibliography","C","ERA",NA
"683","Africa Development/Afrique et Developpement","C","ERA",NA
"684","Africa Journal of Nursing and Midwifery","C","ERA",NA
"685","Africa Media Review","C","ERA",NA
"686","Africa Theological Journal","C","ERA",NA
"687","Africa Today","C","ERA",NA
"688","African Affairs","C","ERA",2.145
"689","African American Review","B","ERA",NA
"690","African and Asian Studies","C","ERA",0.167
"691","African Anthropologist","B","ERA",NA
"692","African Archaeological Review","B","ERA",1.154
"693","African Arts","C","ERA",NA
"694","African Christian Studies","C","ERA",NA
"695","African Crop Science Journal: a journal of tropical crop science and production","C","ERA",NA
"696","African Development Review","C","ERA",NA
"697","African Diaspora Journal of Mathematics","B","ERA",NA
"698","African Economic History","C","ERA",NA
"699","African Entomology: journal of the Entomological Society of Southern Africa","C","ERA",NA
"700","African Geographical Review","C","ERA",NA
"701","African Health Sciences","C","ERA",0.69
"702","African Historical Review","A","ERA",NA
"703","African Human Rights Law Journal","C","ERA",NA
"704","African Identities","A","ERA",NA
"705","African Invertebrates: a journal of biodiversity research","C","ERA",NA
"706","African Journal for Physical Health Education Recreation and Dance","C","ERA",NA
"707","African Journal of Accounting, Economics, Finance and Banking Research","C","ERA",NA
"708","African Journal of AIDS Research","C","ERA",NA
"709","African Journal of Aquatic Science","C","ERA",0.778
"710","African Journal of Biotechnology","C","ERA",NA
"711","African Journal of Business and Economic Research","C","ERA",NA
"712","African Journal of Criminology and Justice Studies","C","ERA",NA
"713","African Journal of Ecology","C","ERA",0.713
"714","African Journal of Environmental Assessment and Management","C","ERA",NA
"715","African Journal of Food, Agriculture, Nutrition and Development","C","ERA",NA
"716","African Journal of Genetics","C","ERA",NA
"717","African Journal of Health Sciences","C","ERA",NA
"718","African Journal of Herpetology","C","ERA",0.81
"719","African Journal of Information and Communication Technology","C","ERA",NA
"720","African Journal of International and Comparative Law","A","ERA",NA
"721","African Journal of Legal Studies","C","ERA",NA
"722","African Journal of Marine Science","C","ERA",0.733
"723","African Journal of Medicine and Medical Sciences","C","ERA",NA
"724","African Journal of Midwifery and Women's Health","C","ERA",NA
"725","African Journal of Neurological Sciences","C","ERA",NA
"726","African Journal of Psychiatry","C","ERA",NA
"727","African Journal of Range and Forage Science","C","ERA",1.31
"728","African Journal of Reproductive Health","C","ERA",0.711
"729","African Journal of Traditional, Complementary and Alternative Medicines","C","ERA",NA
"730","African Journal of Tropical Hydrobiology and Fisheries","C","ERA",NA
"731","African Music","B","ERA",NA
"732","African Philosophy","C","ERA",NA
"733","African Plant Protection","C","ERA",NA
"734","African Population Studies","B","ERA",NA
"735","African Studies","B","ERA",0.348
"736","African Studies Quarterly","C","ERA",NA
"737","African Studies Review: the journal of the African Studies Association","B","ERA",NA
"738","African Zoology","C","ERA",0.86
"739","Afrika Spectrum: Zeitschrift fuer gegenwartsbezogene Afrikaforschung","C","ERA",NA
"740","Afrique Contemporaine","C","ERA",NA
"741","Afterimage: the journal of media arts and cultural criticism","B","ERA",NA
"742","AgBioForum","C","ERA",NA
"743","Age","C","ERA",NA
"744","Age and Ageing","B","ERA",4.902
"745","Age of Johnson: a scholarly annual","B","ERA",NA
"746","Ageing and Society","A","ERA",1.768
"747","Ageing International: information bulletin of the International Federation on Ageing","C","ERA",NA
"748","Ageing Research Reviews","B","ERA",10.616
"749","Agenda (London)","B","ERA",NA
"750","Agenda: a journal of policy analysis and reform","C","ERA",NA
"751","Agenda: empowering women for gender equity","C","ERA",NA
"752","Aggression and Violent Behavior","B","ERA",2.893
"753","Aggressive Behavior","B","ERA",2.219
"754","Aggressive Behavior","B","ERA",2.219
"755","Aging and Mental Health","C","ERA",2.478
"756","Aging and Mental Health","C","ERA",2.478
"757","Aging Cell","A","ERA",7.238
"758","Aging Clinical and Experimental Research","B","ERA",2.697
"759","Aging Health","C","ERA",NA
"760","Aging Male","C","ERA",NA
"761","Agora","C","ERA",NA
"762","Agora (Rio de Janeiro)","C","ERA",NA
"763","Agora (Santiago de Compostela): papeles de filosofia","C","ERA",NA
"764","Agora Philosophica","C","ERA",NA
"765","Agora: tidsskrift for forskning, udvikling og ideudveksling","C","ERA",NA
"766","Agrarforschung","C","ERA",NA
"767","Agrekon","C","ERA",1.196
"768","Agri Centuriati: an international journal of landscape archaeology","C","ERA",NA
"769","Agri Dergisi","C","ERA",NA
"770","Agribiological Research: Zeitschrift fuer Agrarbiologie - Agrikulturchemie - Oekologie","C","ERA",NA
"771","Agribusiness (New York): an international journal","C","ERA",NA
"772","Agriculturae Conspectus Scientificus","C","ERA",NA
"773","Agricultural and Environmental Biotechnology Abstracts (Online)","B","ERA",NA
"774","Agricultural and Food Science","B","ERA",0.731
"775","Agricultural and Forest Entomology","A","ERA",1.885
"776","Agricultural and Forest Meteorology","A","ERA",4.651
"777","Agricultural and Resource Economics Review","B","ERA",NA
"778","Agricultural Economics","A","ERA",2.263
"779","Agricultural Economics","A","ERA",2.263
"780","Agricultural Economics","C","ERA",2.263
"781","Agricultural Economics","C","ERA",2.263
"782","Agricultural Finance Review","C","ERA",NA
"783","Agricultural History","A","ERA",0.432
"784","Agricultural History","A","ERA",0.432
